*** Bundlelist:
Status: 195 bundles in total - all 195 bundles active.

bcpkix (1.60) "bcpkix" [active, 188] 
bcprov (1.60) "bcprov" [active, 189] 
com.composum.assets.commons (1.0.0.SNAPSHOT) "Composum Assets Commons Bundle" [active, 186] 
com.composum.assets.manager (1.0.0.SNAPSHOT) "Composum Assets Manager Bundle" [active, 187] 
com.composum.core.commons (1.11.1.SNAPSHOT) "Composum Core Sling API" [active, 88] 
com.composum.core.config (1.11.1.SNAPSHOT) "Composum Core Configuration" [active, 89] 
com.composum.core.console (1.11.1.SNAPSHOT) "Composum Core Console" [active, 90] 
com.composum.core.jslibs (1.11.1.SNAPSHOT) "Composum Core JS Libraries" [active, 91] 
com.composum.core.pckgmgr (1.11.1.SNAPSHOT) "Composum Package Manager" [active, 92] 
com.composum.core.usermgnt (1.11.1.SNAPSHOT) "Composum User Managmenent" [active, 93] 
com.composum.pages.commons (1.0.0.SNAPSHOT) "Composum Pages Commons Bundle" [active, 180] 
com.composum.pages.components (1.0.0.SNAPSHOT) "Composum Pages Components Bundle" [active, 181] 
com.composum.pages.stage (1.0.0.SNAPSHOT) "Composum Pages Stage Bundle" [active, 182] 
com.composum.platform.auth (1.0.0.SNAPSHOT) "Composum Platform Auth Bundle" [active, 190] 
com.composum.platform.cache (1.0.0.SNAPSHOT) "Composum Platform Cache Bundle" [active, 174] 
com.composum.platform.commons (1.0.0.SNAPSHOT) "Composum Platform Commons Bundle" [active, 173] 
com.composum.platform.htl (1.0.0.SNAPSHOT) "Composum Platform HTL Bundle" [active, 183] 
com.composum.platform.models (1.0.0.SNAPSHOT) "Composum Platform Models Bundle" [active, 176] 
com.composum.platform.security (1.0.0.SNAPSHOT) "Composum Platform Security Bundle" [active, 177] 
com.composum.platform.staging (1.0.0.SNAPSHOT) "Composum Platform Staging Bundle" [active, 178] 
com.composum.platform.tenant (1.0.0.SNAPSHOT) "Composum Platform Tenant Bundle" [active, 194] 
com.composum.platform.workflow (1.0.0.SNAPSHOT) "Composum Platform Workflow Bundle" [active, 193] 
com.fasterxml.jackson.core.jackson-annotations (2.9.7) "Jackson-annotations" [active, 104] 
com.fasterxml.jackson.core.jackson-core (2.9.7) "Jackson-core" [active, 105] 
com.fasterxml.jackson.core.jackson-databind (2.9.7) "jackson-databind" [active, 106] 
com.google.guava (15.0.0) "Guava: Google Core Libraries for Java" [active, 55] 
io.dropwizard.metrics.core (3.2.6) "Metrics Core" [active, 63] 
javax.mail (1.5.0.b01) "JavaMail API (compat)" [active, 108] 
jcl.over.slf4j (1.7.25) "jcl-over-slf4j" [active, 12] 
log4j.over.slf4j (1.7.25) "log4j-over-slf4j" [active, 15] 
org.apache.aries.jmx.api (1.1.5) "Apache Aries JMX API" [active, 24] 
org.apache.aries.jmx.core (1.1.8) "Apache Aries JMX Core" [active, 25] 
org.apache.aries.jmx.whiteboard (1.2.0) "Apache Aries Whiteboard support for JMX DynamicMBean services" [active, 26] 
org.apache.aries.util (1.1.3) "Apache Aries Util" [active, 14] 
org.apache.commons.codec (1.11.0) "Apache Commons Codec" [active, 95] 
org.apache.commons.collections (3.2.2) "Apache Commons Collections" [active, 96] 
org.apache.commons.commons-collections4 (4.2.0) "Apache Commons Collections" [active, 97] 
org.apache.commons.fileupload (1.3.3) "Apache Commons FileUpload" [active, 22] 
org.apache.commons.io (2.6.0) "Apache Commons IO" [active, 23] 
org.apache.commons.lang3 (3.8.1) "Apache Commons Lang" [active, 100] 
org.apache.commons.lang (2.6) "Commons Lang" [active, 99] 
org.apache.commons.math (2.2) "Commons Math" [active, 101] 
org.apache.felix.bundlerepository (2.0.10) "Apache Felix Bundle Repository" [active, 27] 
org.apache.felix.configadmin (1.9.10) "Apache Felix Configuration Admin Service" [active, 13] 
org.apache.felix.eventadmin (1.5.0) "Apache Felix EventAdmin" [active, 7] 
org.apache.felix.framework (6.0.1) "System Bundle" [active, 0] 
org.apache.felix.http.jetty (4.0.6) "Apache Felix Http Jetty" [active, 28] 
org.apache.felix.http.servlet-api (1.1.2) "Apache Felix Servlet API" [active, 29] 
org.apache.felix.http.sslfilter (1.2.6) "Apache Felix Http SSL Filter" [active, 47] 
org.apache.felix.http.whiteboard (4.0.0) "Apache Felix Http Whiteboard" [active, 109] 
org.apache.felix.inventory (1.0.6) "Apache Felix Inventory" [active, 30] 
org.apache.felix.jaas (1.0.2) "Apache Felix JAAS Support" [active, 48] 
org.apache.felix.metatype (1.2.2) "Apache Felix Metatype Service" [active, 49] 
org.apache.felix.prefs (1.1.0) "Apache Felix Preferences Service" [active, 31] 
org.apache.felix.scr (2.1.12) "Apache Felix Declarative Services" [active, 50] 
org.apache.felix.webconsole.plugins.ds (2.1.0) "Apache Felix Web Console Service Component Runtime/Declarative Services Plugin" [active, 33] 
org.apache.felix.webconsole.plugins.event (1.1.8) "Apache Felix Web Console Event Plugin" [active, 34] 
org.apache.felix.webconsole.plugins.memoryusage (1.0.8) "Apache Felix Web Console Memory Usage Plugin" [active, 35] 
org.apache.felix.webconsole.plugins.obr (1.0.4) "Apache Felix Web Console OBR Plugin" [active, 36] 
org.apache.felix.webconsole.plugins.packageadmin (1.0.4) "Apache Felix Web Console Package Admin Service Plugin" [active, 37] 
org.apache.felix.webconsole (4.3.8) "Apache Felix Web Management Console" [active, 32] 
org.apache.geronimo.bundles.commons-httpclient (3.1.0.2) "Apache Geronimo Bundles: commons-httpclient-3.1" [active, 98] 
org.apache.geronimo.bundles.jstl (1.2.0.1) "Apache Geronimo Bundles: jstl-1.2" [active, 107] 
org.apache.geronimo.specs.geronimo-annotation_1.3_spec (1.1.0) "Apache Geronimo Annotation Spec 1.3" [active, 1] 
org.apache.geronimo.specs.geronimo-atinject_1.0_spec (1.1.0) "Apache Geronimo JSR-330 Spec 1.0" [active, 8] 
org.apache.geronimo.specs.geronimo-saaj_1.3_spec (1.1) "SAAJ 1.3" [active, 2] 
org.apache.geronimo.specs.geronimo-ws-metadata_2.0_spec (1.1.3) "Web Services Metadata 2.0" [active, 18] 
org.apache.httpcomponents.httpclient (4.5.6) "Apache Apache HttpClient OSGi bundle" [active, 102] 
org.apache.httpcomponents.httpcore (4.4.10) "Apache Apache HttpCore OSGi bundle" [active, 103] 
org.apache.jackrabbit.jackrabbit-api (2.16.3) "Apache Jackrabbit API" [active, 56] 
org.apache.jackrabbit.jackrabbit-data (2.16.3) "Jackrabbit Data" [active, 57] 
org.apache.jackrabbit.jackrabbit-jcr-commons (2.16.3) "Jackrabbit JCR Commons" [active, 58] 
org.apache.jackrabbit.jackrabbit-jcr-rmi (2.16.3) "Jackrabbit JCR-RMI" [active, 59] 
